material,fab_method,shape,diameter_nm,height_nm,spacing_nm,aspect_ratio,Ra_nm,Rq_nm,WCA_deg,strain,gram,motility,cell_shape,BE_pct,ref
Ti,Reactive Ion Etching (RIE),pillar,93,1510,503,0.06,202,246,55,P. aeruginosa,-,M,R,32.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,93,1510,503,0.06,202,246,55,S. aureus,+,N,S,12.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,103,1900,451,0.05,258,320,83,P. aeruginosa,-,M,R,68.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,103,1900,451,0.05,258,320,83,S. aureus,+,N,S,37.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,115,2100,688,0.05,322,405,96,P. aeruginosa,-,M,R,68.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,115,2100,688,0.05,322,405,96,S. aureus,+,N,S,4.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,135,2300,593,0.06,286,351,111,P. aeruginosa,-,M,R,87.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,135,2300,593,0.06,286,351,111,S. aureus,+,N,S,15.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,158,3500,1730,0.05,446,567,98,P. aeruginosa,-,M,R,76.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,158,3500,1730,0.05,446,567,98,S. aureus,+,N,S,73.0,(1)
Ti,Reactive Ion Etching (RIE),pillar,,500,,,57,72,18,E.coli,-,M,R,80.0,(2)
Ti,Reactive Ion Etching (RIE),pillar,80,1000,,0.08,186,227,10,E.coli,-,M,R,95.0,(2)
Ti,Reactive Ion Etching (RIE),pillar,80,1000,,0.08,186,227,10,P. aeruginosa,-,M,R,98.0,(2)
Ti,Reactive Ion Etching (RIE),pillar,80,1000,,0.08,186,227,10,S. aureus,+,N,S,22.0,(2)
Ti,Reactive Ion Etching (RIE),pillar,80,1000,,0.08,186,227,10,S. aureus(24h),+,N,S,76.0,(2)
Ti,Reactive Ion Etching (RIE),pillar,80,1000,,0.08,186,227,10,M. smegamatis,+,M,R,92.0,(2)
Ti,Reactive Ion Etching (RIE),pillar,,2000,,,215,269,9,E.coli,-,M,R,95.0,(2)
Ti,Hydrothermal synthesis,wire,52,298,,0.17,,,,S. aureus,+,N,S,54.0,(3)
TiO2,Hydrothermal synthesis,wire,1000,3000,,0.33,,,,P. aeruginosa,-,M,R,40.0,(4)
TiO2,Hydrothermal synthesis,wire,1000,3000,,0.33,,,,B. subtilis,+,M,R,50.0,(4)
TiO2,Hydrothermal synthesis,wire,100,3000,,0.03,,,,S. aureus,+,N,S,0.0,(4)
TiO2,Hydrothermal synthesis,wire,100,3000,,0.03,,,,E.coli,-,M,R,80.0,(4)
TiO2,Hydrothermal synthesis,wire,100,3000,,0.03,,,,E. faecalis,+,M,S,0.0,(4)
TiO2,Hydrothermal synthesis,wire,100,3000,,0.03,,,,K. pneumoniae,-,N,R,5.0,(4)
TiO2,Hydrothermal synthesis,wire,42,307,,0.14,40,,14,S. aureus,+,N,S,54.0,(5)
TiO2,Hydrothermal synthesis,wire,42,307,,0.14,40,,14,P. aeruginosa,-,M,R,25.0,(5)
TiO2,Hydrothermal synthesis,wire,33,1316,,0.03,140,,9,S. aureus,+,N,S,25.0,(5)
TiO2,Hydrothermal synthesis,wire,33,1316,,0.03,140,,9,P. aeruginosa,-,M,R,0.0,(5)
