No.,Ref,Material 1,Formula,MagpieData mean Number,MagpieData mean Electronegativity,MagpieData mean AtomicRadius,MagpieData mean CovalentRadius,MagpieData mean Density,MagpieData mean Row,MagpieData mean Column,size (nm),Shape,Synthesis Method,zeta potential,bacteria,gram stain,motility,Oxygen Requirement,Shape.1,Arrangement,duration,temperature,MIC (ÃÂÃÂµg/mL),MIC_class,MIC_pred (ÃÂµg/mL),MBC_pred (Âµg/mL),MBC_pred (µg/mL)
1,10.1088/1748-605X/acd03f,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,186.13895,133.19112,505.37106
2,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,67.68884,158.78685,668.2867
3,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,76.22248,118.02917,487.80557
4,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,21.139673,94.48596,505.37106
5,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,2.3225853,133.42097,668.2867
6,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.714256,80.06779,487.80557
7,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,20.922663,103.877464,505.37106
8,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-17.492905,142.81245,668.2867
9,,Ag,Ag,47,1.93,1.6,145,10490,5,11,0,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.931244,89.45929,487.80557
10,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,186.13895,133.19112,505.37106
11,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,67.68884,158.78685,668.2867
12,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,76.22248,118.02917,487.80557
13,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,21.139673,94.48596,505.37106
14,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,2.3225853,133.42097,668.2867
15,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.714256,80.06779,487.80557
16,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,20.922663,103.877464,505.37106
17,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-17.492905,142.81245,668.2867
18,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.931244,89.45929,487.80557
19,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,186.13895,133.19112,505.37106
20,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,67.68884,158.78685,668.2867
21,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,76.22248,118.02917,487.80557
22,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,21.139673,94.48596,505.37106
23,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,2.3225853,133.42097,668.2867
24,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.714256,80.06779,487.80557
25,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,20.922663,103.877464,505.37106
