evaluation,fold,n_train_rows,n_test_rows,n_train_papers,n_test_papers,n_shared_papers,no_paper_overlap,accuracy,macro_f1,train_majority_class,majority_accuracy,train_moderate,test_moderate,train_strong,test_strong,train_weak,test_weak
random_stratified,1,106,27,24,15,15,False,0.8518518518518519,0.8336182336182336,weak,0.48148148148148145,37,10,17,4,52,13
random_stratified,2,106,27,23,17,16,False,0.7037037037037037,0.6523809523809524,weak,0.48148148148148145,37,10,17,4,52,13
random_stratified,3,106,27,24,15,15,False,0.8518518518518519,0.8451468710089399,weak,0.48148148148148145,38,9,16,5,52,13
random_stratified,4,107,26,24,17,17,False,0.6923076923076923,0.5931623931623932,weak,0.5,38,9,17,4,52,13
random_stratified,5,107,26,23,13,12,False,0.7692307692307693,0.7611111111111111,weak,0.5,38,9,17,4,52,13
grouped_by_ref,1,106,27,19,5,0,True,0.25925925925925924,0.17794486215538843,weak,0.48148148148148145,35,12,19,2,52,13
grouped_by_ref,2,106,27,19,5,0,True,0.6296296296296297,0.4260752688172043,weak,0.5555555555555556,39,8,17,4,50,15
grouped_by_ref,3,107,26,20,4,0,True,0.5,0.37333333333333335,weak,0.34615384615384615,35,12,16,5,56,9
grouped_by_ref,4,106,27,19,5,0,True,0.4444444444444444,0.37719298245614036,weak,0.2962962962962963,38,9,11,10,57,8
grouped_by_ref,5,107,26,19,5,0,True,0.6923076923076923,0.45,weak,0.7692307692307693,41,6,21,0,45,20
