rank,normalized_species,row_count,paper_count,raw_label_count,raw_label_variants,organism_type,frequency_bucket,true_strong,true_moderate,true_weak,row_proportion
1,E. coli,70,46,3,'E. coli ' | 'E. coli' | 'E. coli\xc2\xa0',bacterium,>20,20,24,26,0.2046783625730994
2,S. aureus,67,44,4,'MRSA' | 'S. aureus ' | 'S. aureus' | 'S. aureus\xc2\xa0',bacterium,>20,18,23,26,0.195906432748538
3,P. aeruginosa,40,28,2,'P. aeruginosa ' | 'P. aeruginosa',bacterium,>20,8,14,18,0.11695906432748537
4,B. subtilis,19,12,1,'B. subtilis',bacterium,5-20,1,8,10,0.05555555555555555
5,E. faecalis,13,8,3,'E. faecalis ' | 'E. faecalis' | 'E. fecalis',bacterium,5-20,3,7,3,0.038011695906432746
6,K. pneumoniae,12,9,1,'K. pneumoniae',bacterium,5-20,2,1,9,0.03508771929824561
7,C. albicans,9,5,1,'C. albicans',fungus,5-20,2,3,4,0.02631578947368421
8,S. mutans,7,5,1,'S. mutans',bacterium,5-20,1,5,1,0.02046783625730994
9,S. epidermidis,6,4,1,'S. epidermidis',bacterium,5-20,5,0,1,0.017543859649122806
10,S. typhimurium,6,5,3,'S. typhimurium' | 'Salmonella typhimurium ' | 'Salmonella typhimurium',bacterium,5-20,1,3,2,0.017543859649122806
11,A. baumannii,5,4,2,'A. baumannii' | 'A.baumannii',bacterium,5-20,1,3,1,0.014619883040935672
12,B. cereus,5,5,1,'B. cereus',bacterium,5-20,1,3,1,0.014619883040935672
13,K. aerogenes,5,2,2,'E. aerogenes' | 'K. aerogenes',bacterium,5-20,1,2,2,0.014619883040935672
14,L. monocytogenes,5,3,1,'L. monocytogenes',bacterium,5-20,0,0,5,0.014619883040935672
15,S. typhi,5,3,2,'S. typhi\xc2\xa0' | 'Salmonella typhi',bacterium,5-20,1,2,2,0.014619883040935672
16,Mycobacterium tuberculosis,4,1,1,'Mycobacterium tuberculosis',bacterium,<5,4,0,0,0.011695906432748537
17,P. fluorescens,4,2,1,'P. fluorescens',bacterium,<5,0,0,4,0.011695906432748537
18,S. enterica,4,1,1,'S. enterica',bacterium,<5,0,1,3,0.011695906432748537
19,S. haemolyticus,4,1,1,'S. haemolyticus',bacterium,<5,0,1,3,0.011695906432748537
20,A. hydrophila,3,3,1,'A. hydrophila',bacterium,<5,0,1,2,0.008771929824561403
21,C. tropicalis,3,2,1,'C. tropicalis',fungus,<5,0,0,3,0.008771929824561403
22,K. oxytoca,3,2,1,'K. oxytoca',bacterium,<5,1,2,0,0.008771929824561403
23,S. choleraesuis,3,1,1,'S. choleraesuis',bacterium,<5,2,1,0,0.008771929824561403
24,S. enteritidis,3,2,1,'S. enteritidis ',bacterium,<5,1,2,0,0.008771929824561403
25,S. marcescens,3,1,1,'S. marcescens',bacterium,<5,3,0,0,0.008771929824561403
26,S. pyogenes,3,3,1,'S. pyogenes',bacterium,<5,1,0,2,0.008771929824561403
27,A. bestiarum,2,1,1,'A. bestiarum',bacterium,<5,0,0,2,0.005847953216374269
28,A. xylosoxidans,2,1,1,'A. xylosoxidans',bacterium,<5,0,2,0,0.005847953216374269
29,C. freundii,2,1,1,'C. freundii',bacterium,<5,1,1,0,0.005847953216374269
30,C. parapsilosis,2,1,1,'C. parapisilosis',fungus,<5,0,0,2,0.005847953216374269
31,E. hirae,2,1,1,'E. hirae',bacterium,<5,0,0,2,0.005847953216374269
32,K. quasipneumoniae,2,2,1,'K. quasipneumoniae',bacterium,<5,0,0,2,0.005847953216374269
33,L. pneumophila subsp. pneumophila,2,1,1,'L. pneumophilia subsp. pneumophila',bacterium,<5,0,0,2,0.005847953216374269
34,M. catarrhalis,2,1,1,'M. catarrhalis',bacterium,<5,0,2,0,0.005847953216374269
35,M. morganii,2,1,1,'M. morganii',bacterium,<5,1,1,0,0.005847953216374269
36,P. vulgaris,2,2,1,'P. vulgaris',bacterium,<5,1,1,0,0.005847953216374269
37,Shigella sonnei,2,2,1,'Shigella sonnei',bacterium,<5,0,1,1,0.005847953216374269
38,C. glabrata,1,1,1,'C. glabrata',fungus,<5,0,0,1,0.0029239766081871343
39,E. tarda,1,1,1,'E. tarda',bacterium,<5,0,0,1,0.0029239766081871343
40,Helicobacter pylori,1,1,1,'Helicobacter pylori',bacterium,<5,0,1,0,0.0029239766081871343
41,L. acidophilus,1,1,1,'L. acidophilus',bacterium,<5,0,1,0,0.0029239766081871343
42,L. fermentum,1,1,1,'L. fermentum',bacterium,<5,0,1,0,0.0029239766081871343
43,P. mirabilis,1,1,1,'P. mirabilis',bacterium,<5,0,0,1,0.0029239766081871343
44,Salmonella sp.,1,1,1,'Salmonella sp.',bacterium,<5,1,0,0,0.0029239766081871343
45,Staphylococcus saprophyticus,1,1,1,'Staphylococcus saprophyticus',bacterium,<5,0,0,1,0.0029239766081871343
46,Streptococcus oralis,1,1,1,'Streptococcus oralis',bacterium,<5,0,1,0,0.0029239766081871343
