n_rows,n_species,n_papers,accuracy,majority_baseline,accuracy_delta_over_baseline,macro_f1_3class,true_strong,true_moderate,true_weak,rank,normalized_species,organism_type,frequency_bucket,raw_label_count
70,1,46,0.4142857142857143,0.37142857142857144,0.04285714285714287,0.3980752777129604,20,24,26,1,E. coli,bacterium,>20,3
67,1,44,0.3582089552238806,0.3880597014925373,-0.029850746268656747,0.36321195144724555,18,23,26,2,S. aureus,bacterium,>20,4
40,1,28,0.325,0.45,-0.125,0.2566601689408707,8,14,18,3,P. aeruginosa,bacterium,>20,2
19,1,12,0.2631578947368421,0.5263157894736842,-0.2631578947368421,0.18479532163742687,1,8,10,4,B. subtilis,bacterium,5-20,1
13,1,8,0.15384615384615385,0.5384615384615384,-0.3846153846153846,0.09523809523809523,3,7,3,5,E. faecalis,bacterium,5-20,3
12,1,9,0.3333333333333333,0.75,-0.4166666666666667,0.16666666666666666,2,1,9,6,K. pneumoniae,bacterium,5-20,1
9,1,5,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.3,2,3,4,7,C. albicans,fungus,5-20,1
7,1,5,0.7142857142857143,0.7142857142857143,0.0,0.2777777777777778,1,5,1,8,S. mutans,bacterium,5-20,1
6,1,4,0.16666666666666666,0.8333333333333334,-0.6666666666666667,0.1111111111111111,5,0,1,9,S. epidermidis,bacterium,5-20,1
6,1,5,0.16666666666666666,0.5,-0.33333333333333337,0.13333333333333333,1,3,2,10,S. typhimurium,bacterium,5-20,3
5,1,4,0.0,0.6,-0.6,0.0,1,3,1,11,A. baumannii,bacterium,5-20,2
5,1,5,0.4,0.6,-0.19999999999999996,0.4666666666666666,1,3,1,12,B. cereus,bacterium,5-20,1
5,1,2,0.4,0.4,0.0,0.2222222222222222,1,2,2,13,K. aerogenes,bacterium,5-20,2
5,1,3,0.6,1.0,-0.4,0.25,0,0,5,14,L. monocytogenes,bacterium,5-20,1
5,1,3,0.2,0.4,-0.2,0.1111111111111111,1,2,2,15,S. typhi,bacterium,5-20,2
4,1,1,0.0,1.0,-1.0,0.0,4,0,0,16,Mycobacterium tuberculosis,bacterium,<5,1
4,1,2,0.0,1.0,-1.0,0.0,0,0,4,17,P. fluorescens,bacterium,<5,1
4,1,1,0.5,0.75,-0.25,0.2222222222222222,0,1,3,18,S. enterica,bacterium,<5,1
4,1,1,0.5,0.75,-0.25,0.2222222222222222,0,1,3,19,S. haemolyticus,bacterium,<5,1
3,1,3,0.0,0.6666666666666666,-0.6666666666666666,0.0,0,1,2,20,A. hydrophila,bacterium,<5,1
3,1,2,0.3333333333333333,1.0,-0.6666666666666667,0.16666666666666666,0,0,3,21,C. tropicalis,fungus,<5,1
3,1,2,0.0,0.6666666666666666,-0.6666666666666666,0.0,1,2,0,22,K. oxytoca,bacterium,<5,1
3,1,1,0.0,0.6666666666666666,-0.6666666666666666,0.0,2,1,0,23,S. choleraesuis,bacterium,<5,1
3,1,2,0.0,0.6666666666666666,-0.6666666666666666,0.0,1,2,0,24,S. enteritidis,bacterium,<5,1
3,1,1,0.0,1.0,-1.0,0.0,3,0,0,25,S. marcescens,bacterium,<5,1
3,1,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.16666666666666666,1,0,2,26,S. pyogenes,bacterium,<5,1
2,1,1,0.0,1.0,-1.0,0.0,0,0,2,27,A. bestiarum,bacterium,<5,1
2,1,1,0.0,1.0,-1.0,0.0,0,2,0,28,A. xylosoxidans,bacterium,<5,1
2,1,1,0.0,0.5,-0.5,0.0,1,1,0,29,C. freundii,bacterium,<5,1
2,1,1,0.0,1.0,-1.0,0.0,0,0,2,30,C. parapsilosis,fungus,<5,1
2,1,1,0.0,1.0,-1.0,0.0,0,0,2,31,E. hirae,bacterium,<5,1
2,1,2,0.0,1.0,-1.0,0.0,0,0,2,32,K. quasipneumoniae,bacterium,<5,1
2,1,1,0.0,1.0,-1.0,0.0,0,0,2,33,L. pneumophila subsp. pneumophila,bacterium,<5,1
2,1,1,0.0,1.0,-1.0,0.0,0,2,0,34,M. catarrhalis,bacterium,<5,1
2,1,1,0.0,0.5,-0.5,0.0,1,1,0,35,M. morganii,bacterium,<5,1
2,1,2,0.5,0.5,0.0,0.2222222222222222,1,1,0,36,P. vulgaris,bacterium,<5,1
2,1,2,0.0,0.5,-0.5,0.0,0,1,1,37,Shigella sonnei,bacterium,<5,1
1,1,1,0.0,1.0,-1.0,0.0,0,0,1,38,C. glabrata,fungus,<5,1
1,1,1,0.0,1.0,-1.0,0.0,0,0,1,39,E. tarda,bacterium,<5,1
1,1,1,1.0,1.0,0.0,0.3333333333333333,0,1,0,40,Helicobacter pylori,bacterium,<5,1
1,1,1,1.0,1.0,0.0,0.3333333333333333,0,1,0,41,L. acidophilus,bacterium,<5,1
1,1,1,1.0,1.0,0.0,0.3333333333333333,0,1,0,42,L. fermentum,bacterium,<5,1
1,1,1,1.0,1.0,0.0,0.3333333333333333,0,0,1,43,P. mirabilis,bacterium,<5,1
1,1,1,0.0,1.0,-1.0,0.0,1,0,0,44,Salmonella sp.,bacterium,<5,1
1,1,1,1.0,1.0,0.0,0.3333333333333333,0,0,1,45,Staphylococcus saprophyticus,bacterium,<5,1
1,1,1,1.0,1.0,0.0,0.3333333333333333,0,1,0,46,Streptococcus oralis,bacterium,<5,1
