evaluation,fold,n_train_rows,n_test_rows,n_train_papers,n_test_papers,n_shared_papers,no_paper_overlap,n_single_row_test_papers,accuracy,macro_f1
uncorrected,1,273,69,52,13,0,True,1,0.37681159420289856,0.3674603174603175
standardized,1,273,69,52,13,0,True,1,0.3188405797101449,0.27474323062558353
coral,1,273,69,52,13,0,True,1,0.2898550724637681,0.21575757575757573
uncorrected,2,273,69,52,13,0,True,1,0.13043478260869565,0.10745789895749798
standardized,2,273,69,52,13,0,True,1,0.21739130434782608,0.2128879892037787
coral,2,273,69,52,13,0,True,1,0.11594202898550725,0.11281676413255359
uncorrected,3,274,68,52,13,0,True,1,0.23529411764705882,0.17144293614881848
standardized,3,274,68,52,13,0,True,1,0.4264705882352941,0.4092558983666062
coral,3,274,68,52,13,0,True,1,0.5147058823529411,0.3293959473734755
uncorrected,4,274,68,52,13,0,True,1,0.3088235294117647,0.22751322751322753
standardized,4,274,68,52,13,0,True,1,0.39705882352941174,0.2733333333333334
coral,4,274,68,52,13,0,True,1,0.4117647058823529,0.22709857192615815
uncorrected,5,274,68,52,13,0,True,1,0.47058823529411764,0.4497086570477247
standardized,5,274,68,52,13,0,True,1,0.39705882352941174,0.38663480866234307
coral,5,274,68,52,13,0,True,1,0.4411764705882353,0.3357213930348259
