ridge,fold,n_train_rows,n_test_rows,n_train_papers,n_test_papers,n_shared_papers,accuracy,majority_accuracy,macro_f1
0.01,1,273,69,52,13,0,0.36231884057971014,0.2898550724637681,0.3717460317460317
0.1,1,273,69,52,13,0,0.3333333333333333,0.2898550724637681,0.3185194943972363
1.0,1,273,69,52,13,0,0.36231884057971014,0.2898550724637681,0.31085050935797204
10.0,1,273,69,52,13,0,0.30434782608695654,0.2898550724637681,0.26974053060034536
100.0,1,273,69,52,13,0,0.36231884057971014,0.2898550724637681,0.3010033444816054
0.01,2,273,69,52,13,0,0.14492753623188406,0.4057971014492754,0.1349206349206349
0.1,2,273,69,52,13,0,0.18840579710144928,0.4057971014492754,0.21320712192923144
1.0,2,273,69,52,13,0,0.08695652173913043,0.4057971014492754,0.0773109243697479
10.0,2,273,69,52,13,0,0.15942028985507245,0.4057971014492754,0.15692129782110678
100.0,2,273,69,52,13,0,0.11594202898550725,0.4057971014492754,0.1004534356470178
0.01,3,274,68,52,13,0,0.6470588235294118,0.6029411764705882,0.47863247863247865
0.1,3,274,68,52,13,0,0.6470588235294118,0.6029411764705882,0.47863247863247865
1.0,3,274,68,52,13,0,0.6176470588235294,0.6029411764705882,0.5097186700767263
10.0,3,274,68,52,13,0,0.5735294117647058,0.6029411764705882,0.4333911702332755
100.0,3,274,68,52,13,0,0.4411764705882353,0.6029411764705882,0.2918912115699264
0.01,4,274,68,52,13,0,0.3235294117647059,0.4264705882352941,0.2333333333333333
0.1,4,274,68,52,13,0,0.3088235294117647,0.4264705882352941,0.17073170731707318
1.0,4,274,68,52,13,0,0.4117647058823529,0.4264705882352941,0.2696029362696029
10.0,4,274,68,52,13,0,0.4264705882352941,0.4264705882352941,0.20138888888888887
100.0,4,274,68,52,13,0,0.4264705882352941,0.4264705882352941,0.20138888888888887
0.01,5,274,68,52,13,0,0.4117647058823529,0.36764705882352944,0.21653689284390065
0.1,5,274,68,52,13,0,0.3235294117647059,0.36764705882352944,0.24564782201049082
1.0,5,274,68,52,13,0,0.5147058823529411,0.36764705882352944,0.39883040935672515
10.0,5,274,68,52,13,0,0.36764705882352944,0.36764705882352944,0.18315018315018317
100.0,5,274,68,52,13,0,0.35294117647058826,0.36764705882352944,0.18823529411764706
