evaluation,fold,n_train_rows,n_test_rows,n_train_papers,n_test_papers,n_shared_papers,accuracy,macro_f1
full_features,1,273,69,52,13,0,0.37681159420289856,0.3674603174603175
without_magpie,1,273,69,52,13,0,0.3188405797101449,0.31497058661828575
full_features,2,273,69,52,13,0,0.13043478260869565,0.10745789895749798
without_magpie,2,273,69,52,13,0,0.21739130434782608,0.20006997015103134
full_features,3,274,68,52,13,0,0.23529411764705882,0.17144293614881848
without_magpie,3,274,68,52,13,0,0.29411764705882354,0.20175438596491227
full_features,4,274,68,52,13,0,0.3088235294117647,0.22751322751322753
without_magpie,4,274,68,52,13,0,0.3382352941176471,0.24424163407214258
full_features,5,274,68,52,13,0,0.47058823529411764,0.4497086570477247
without_magpie,5,274,68,52,13,0,0.5441176470588235,0.5201141294095453
