ref,n_rows,n_unique_formulas,n_constant_magpie,all_constant
10.1002/cbdv.202400724,18,2,2,False
10.1002/jbm.b.35197,16,1,22,True
10.1002/smll.202104160,4,1,22,True
10.1007/s00203-023-03497-w,3,1,22,True
10.1007/s00430-017-0525-y,8,1,22,True
10.1007/s00449-023-02905-1,4,1,22,True
10.1007/s11274-017-2406-3,5,1,22,True
10.1007/s11274-019-2787-6,3,1,22,True
10.1007/s12010-022-04120-2,4,1,22,True
10.1007/s12088-013-0437-5,6,2,12,False
10.1007/s13204-015-0460-4,2,1,22,True
10.1007/s42770-022-00868-1,11,3,0,False
10.1016/j.chemosphere.2021.132676,16,4,0,False
10.1016/j.colsurfb.2015.02.009,2,1,22,True
10.1016/j.heliyon.2023.e15265,4,1,22,True
10.1016/j.ijantimicag.2015.03.014,4,1,22,True
10.1016/j.jallcom.2021.163073,12,3,2,False
10.1016/j.jbiotec.2021.11.003,2,1,22,True
10.1016/j.jdent.2020.103327,1,1,22,True
10.1016/j.jrras.2015.10.002,2,1,22,True
10.1016/j.jtumed.2022.10.006,1,1,22,True
10.1016/j.micpath.2017.07.009,2,1,22,True
10.1016/j.micpath.2024.106546,4,1,22,True
10.1016/j.saa.2012.01.011,5,1,22,True
10.1016/j.saa.2012.12.083,6,1,22,True
10.1016/j.sdentj.2018.10.004,4,1,22,True
10.1016/j.sjbs.2017.07.001,5,1,22,True
10.1016/j.talanta.2019.120243,3,1,22,True
10.1021/acsabm.3c00090,5,1,22,True
10.1021/acsinfecdis.4c00860,4,1,22,True
10.1021/acsomega.2c06789,12,2,12,False
10.1038/s41598-017-18590-6,10,1,22,True
10.1038/s41598-018-34567-5,8,1,22,True
10.1038/s41598-019-42112-1,2,1,22,True
10.1038/s41598-019-50906-6,2,1,22,True
10.1038/s41598-019-54025-0,8,2,1,False
10.1038/s41598-020-64127-9,3,1,22,True
10.1038/s41598-020-73497-z,2,1,22,True
10.1038/s41598-021-85584-w,2,1,22,True
10.1038/s41598-022-17929-y,6,1,22,True
10.1038/s41598-022-18379-2,1,1,22,True
10.1038/s41598-022-24514-w,1,1,22,True
10.1038/s41598-024-62868-5,2,1,22,True
10.1038/s41598-024-82332-8,2,1,22,True
10.1039/c4ra12784f,2,1,22,True
10.1039/c8tx00267c,4,1,22,True
10.1049/iet-nbt.2014.0068,12,1,22,True
10.1080/21691401.2023.2268167,3,1,22,True
10.1088/1748-605x/acd03f,8,4,11,False
10.1111/1751-7915.12374,3,1,22,True
10.1111/jfd.14003,1,1,22,True
10.1186/s12866-023-02971-1,6,3,0,False
10.1186/s13568-024-01707-2,7,1,22,True
10.14202/vetworld.2023.1301-1311,14,1,22,True
10.1515/ntrev-2016-0064,2,1,22,True
10.1590/0103-6440202003897,10,1,22,True
10.1590/s1517-83822014000400024,4,1,22,True
10.2147/ijn.s258319,9,1,22,True
10.3390/antibiotics12020201,3,1,22,True
10.3390/antiox13070865,8,1,22,True
10.3390/jfb14020112,4,2,4,False
10.3390/jof9020133,2,1,22,True
10.3390/molecules29133027,4,1,22,True
10.3390/plants12112177,5,1,22,True
10.4274/tjps.52724,4,1,22,True
